"","Date","six-month","two-yr","five-yr","thirty-yr"
"279","04-12-2013",7.79,7.611,7.78,9.246
"280","04-12-2017",6.1,6.522,6.967,7.515
"281","04-12-2018",6.26,6.893,7.357,7.831
"282","04-12-2019",6.33,6.699,7.203,7.139
"283","05-01-2012",8.4,8.218,8.421,8.644
"284","05-01-2013",7.56,7.45,7.552,8.151
"285","05-02-2008",7.43,7.746,7.861,7.852
"286","05-02-2013",7.56,7.434,7.518,8.154
"287","05-02-2014",8.91,8.684,8.8,9.139
"288","05-02-2016",6.84,7.174,7.475,8.26
"289","05-02-2018",6.37,7.318,7.765,7.882
"290","05-02-2019",6.53,6.709,7.303,7.74
"291","05-03-2010",4.5,5.893,7.441,8.469
"292","05-03-2012",8.4,8.197,8.345,8.606
"293","05-03-2013",7.51,7.451,7.522,8.152
"294","05-03-2018",6.38,7.348,7.754,7.991
"295","05-03-2019",6.51,6.755,7.311,7.788
"296","05-04-2010",4.5,5.865,7.308,8.459
"297","05-04-2011",8.05,8.039,8.432,8.36
"298","05-04-2012",8.4,8.171,8.356,9.05
"299","05-04-2016",6.86,7.167,7.459,7.89
"300","05-04-2017",6.36,6.633,7.066,7.36
"301","05-04-2018",6.4,7.377,7.767,7.543
"302","05-05-2008",7.33,7.709,7.798,8.326
"303","05-05-2009",3.5,4.69,6.116,7.314
"304","05-05-2010",4.5,5.836,7.331,8.537
"305","05-05-2011",8.05,8.059,8.437,8.61
"306","05-05-2012",8.4,8.171,8.356,8.997
"307","05-05-2014",8.88,8.673,8.752,9.022
"308","05-05-2015",7.93,7.882,7.868,7.923
"309","05-05-2016",6.89,7.16,7.457,7.851
"310","05-05-2017",6.38,6.594,7.045,7.5
"311","05-06-2008",7.35,7.706,7.803,8.567
"312","05-06-2009",3.3,4.63,5.928,7.69
"313","05-06-2012",8.4,8.171,8.356,8.607
"314","05-06-2013",7.51,7.452,7.534,7.485
"315","05-06-2014",8.86,8.675,8.781,8.615
"316","05-06-2015",8,7.923,7.916,8.138
"317","05-07-2010",4.4,5.827,7.376,8.367
"318","05-07-2012",8.4,8.167,8.361,8.653
"319","05-07-2013",7.53,7.473,7.527,7.895
"320","05-07-2017",6.38,6.594,7.045,7.156
"321","05-07-2018",6.4,7.37,7.682,8.104
"322","05-07-2019",6.5,6.713,7.283,6.96
"323","05-08-2008",7.33,7.732,7.862,9.608
"324","05-08-2009",3.35,4.647,6.092,7.947
"325","05-08-2012",8.4,8.185,8.34,8.657
"326","05-08-2013",7.51,7.479,7.495,8.667
"327","05-08-2014",8.88,8.683,8.796,8.863
"328","05-08-2015",8,7.943,8.033,8.037
"329","05-08-2019",6.5,6.713,7.24,6.849
"330","05-09-2008",7.3,7.748,7.863,9.189
"331","05-09-2011",8.05,8.092,8.407,8.633
"332","05-09-2012",8.4,8.203,8.367,8.611
"333","05-09-2013",7.48,7.401,7.409,9.056
"334","05-09-2014",8.85,8.739,8.783,8.757
"335","05-09-2017",6.34,6.602,7.061,7.14
"336","05-09-2018",6.4,7.42,7.763,8.313
"337","05-09-2019",6.49,6.713,7.252,7.011
"338","05-10-2010",4.5,5.905,7.399,8.381
"339","05-10-2011",8.1,8.166,8.405,8.814
"340","05-10-2012",8.4,8.181,8.362,8.431
"341","05-10-2016",6.88,7.121,7.427,7.099
"342","05-10-2018",6.48,7.425,7.782,8.341
"343","05-11-2009",3.35,4.673,6.171,8.361
"344","05-11-2012",8.4,8.184,8.376,8.412
"345","05-11-2015",7.98,7.855,7.922,7.883
"346","05-11-2018",6.47,7.422,7.786,8.131
"347","05-12-2008",7.4,7.731,7.828,7.397
"348","05-12-2011",8.15,8.163,8.367,8.921
"349","05-12-2012",8.4,8.184,8.376,8.427
"350","05-12-2014",8.87,8.676,8.762,8.032
"351","05-12-2016",6.88,7.119,7.401,6.72
"352","05-12-2017",6.36,6.599,7.03,7.484
"353","06-01-2009",3.5,5.085,6.483,6.531
"354","06-01-2010",5.2,5.943,7.392,8.37
"355","06-01-2011",8.3,8.257,8.453,8.474
"356","06-01-2012",8.3,8.008,8.273,8.571
"357","06-01-2015",7.82,7.773,7.853,8.093
"358","06-01-2016",6.95,7.115,7.458,8.084
"359","06-01-2017",6.36,6.496,6.835,6.975
"360","06-02-2008",7.48,7.977,8.049,7.813
"361","06-02-2009",3.5,5.08,6.493,7.367
"362","06-02-2012",8.3,8.008,8.273,8.539
"363","06-02-2014",8.66,8.38,8.573,9.146
"364","06-02-2015",7.65,7.8,7.948,7.68
"365","06-02-2017",6.35,6.477,6.835,7.056
"366","06-03-2009",3.5,5.075,6.449,7.82
"367","06-03-2013",7.32,7.325,7.383,8.132
"368","06-03-2014",8.58,8.351,8.476,9.219
"369","06-03-2019",6.13,6.357,6.825,7.779
"370","06-04-2009",3.5,5.119,6.47,7.745
"371","06-04-2010",5.15,5.954,7.381,8.459
"372","06-04-2015",7.7,7.894,8.045,7.778
"373","06-04-2018",6.82,7.582,7.888,7.524
"374","06-05-2008",7.57,8.052,8.159,8.34
"375","06-05-2009",3.55,5.079,6.48,7.206
"376","06-05-2012",8.25,7.98,8.212,8.997
"377","06-05-2013",7.34,7.331,7.341,7.939
"378","06-05-2014",8.58,8.503,8.394,9.033
"379","06-05-2015",7.7,7.878,8.011,7.94
"380","06-06-2008",7.6,8.106,8.234,8.654
"381","06-06-2011",8.25,8.217,8.367,8.621
"382","06-06-2012",8.2,7.963,8.232,8.614
"383","06-06-2013",7.36,7.304,7.341,7.476
"384","06-06-2014",8.54,8.236,8.344,8.566
"385","06-06-2016",6.92,7.098,7.425,7.835
"386","06-06-2017",6.36,6.48,6.855,7.3
"387","06-06-2018",6.82,7.613,7.928,8.137
"388","06-06-2019",5.99,6.276,6.759,7.258
"389","06-07-2010",5.15,5.936,7.381,8.358
"390","06-07-2011",8.25,8.208,8.351,8.652
"391","06-07-2012",8.2,7.91,8.202,8.638
"392","06-07-2015",7.7,7.878,8.011,8.034
"393","06-07-2017",6.33,6.425,6.793,7.132
"394","06-07-2018",6.82,7.672,8.011,8.077
"395","06-08-2009",3.6,5.246,6.49,7.972
"396","06-08-2010",5.15,5.939,7.397,8.417
"397","06-08-2012",8.15,7.894,8.205,8.649
